"Date","Open","High","Low","Close","Volume"
"2023-12-20T21:00:00.000Z","40.09","40.13","39.75","40.13","21,395"
"2023-12-21T21:00:00.000Z","40.32","40.32","40.14","40.19","43,535"
"2023-12-25T21:00:00.000Z","40.35","40.45","40.27","40.44","13,939"
"2023-12-26T21:00:00.000Z","40.45","40.78","40.32","40.42","22,871"
"2023-12-27T21:00:00.000Z","40.62","40.73","40.50","40.55","14,250"
"2023-12-28T21:00:00.000Z","40.55","40.59","40.23","40.40","29,425"
"2024-01-01T21:00:00.000Z","40.24","40.27","40.00","40.11","38,785"
"2024-01-02T21:00:00.000Z","40.02","40.08","39.83","39.85","27,031"
"2024-01-03T21:00:00.000Z","39.90","40.00","39.70","39.71","11,004"
"2024-01-04T21:00:00.000Z","39.61","39.95","39.61","39.76","49,205"
"2024-01-07T21:00:00.000Z","40.18","40.22","39.76","40.22","15,538"
"2024-01-08T21:00:00.000Z","40.18","40.24","39.95","40.17","30,267"
"2024-01-09T21:00:00.000Z","40.31","40.43","40.17","40.41","38,375"
"2024-01-10T21:00:00.000Z","40.62","40.62","40.15","40.39","16,118"
"2024-01-11T21:00:00.000Z","40.66","40.66","40.38","40.46","9,143.00"
"2024-01-15T21:00:00.000Z","40.42","40.46","40.17","40.37","15,982"
"2024-01-16T21:00:00.000Z","40.18","40.18","39.91","40.13","15,142"
"2024-01-17T21:00:00.000Z","40.16","40.38","40.13","40.34","10,469"
"2024-01-18T21:00:00.000Z","40.35","40.58","40.33","40.58","16,931"
"2024-01-21T21:00:00.000Z","40.58","40.80","40.58","40.65","14,555"
"2024-01-22T21:00:00.000Z","40.76","40.83","40.54","40.77","10,721"
"2024-01-23T21:00:00.000Z","41.06","41.06","40.89","40.90","9,673.00"
"2024-01-24T21:00:00.000Z","41.03","41.10","40.79","41.10","23,745"
"2024-01-25T21:00:00.000Z","40.85","41.17","40.85","41.03","30,317"
"2024-01-28T21:00:00.000Z","41.00","41.29","41.00","41.29","13,142"
"2024-01-29T21:00:00.000Z","41.36","41.45","41.31","41.43","4,446.00"
"2024-01-30T21:00:00.000Z","41.28","41.28","40.83","40.83","85,182"
"2024-01-31T21:00:00.000Z","40.78","40.90","40.02","40.70","158,002"
"2024-02-01T21:00:00.000Z","40.81","41.16","40.81","41.13","37,846"
"2024-02-04T21:00:00.000Z","40.98","41.06","40.71","40.94","59,157"
"2024-02-05T21:00:00.000Z","41.12","41.12","40.88","41.00","16,956"
"2024-02-06T21:00:00.000Z","41.10","41.37","41.09","41.37","10,401"
"2024-02-07T21:00:00.000Z","41.39","41.40","41.32","41.36","10,615"
"2024-02-08T21:00:00.000Z","41.47","41.66","41.40","41.51","13,013"
"2024-02-11T21:00:00.000Z","41.69","41.81","41.57","41.63","21,808"
"2024-02-12T21:00:00.000Z","41.21","41.21","40.80","41.07","29,397"
"2024-02-13T21:00:00.000Z","41.31","41.60","41.10","41.40","15,921"
"2024-02-14T21:00:00.000Z","41.46","41.65","41.32","41.64","20,876"
"2024-02-15T21:00:00.000Z","41.70","41.71","41.43","41.49","18,643"
"2024-02-19T21:00:00.000Z","41.68","41.68","41.05","41.20","21,279"
"2024-02-20T21:00:00.000Z","41.17","41.29","40.92","41.29","20,587"
"2024-02-21T21:00:00.000Z","41.85","41.85","41.55","41.62","12,404"
"2024-02-22T21:00:00.000Z","41.75","41.80","41.60","41.65","26,712"
"2024-02-25T21:00:00.000Z","41.65","41.70","41.45","41.46","43,984"
"2024-02-26T21:00:00.000Z","41.47","41.59","41.41","41.59","13,443"
"2024-02-27T21:00:00.000Z","41.47","41.57","41.38","41.51","18,542"
"2024-02-28T21:00:00.000Z","41.60","41.80","41.47","41.76","13,302"
"2024-02-29T21:00:00.000Z","41.53","41.75","41.39","41.68","26,387"
"2024-03-03T21:00:00.000Z","41.69","41.78","41.57","41.72","30,763"
"2024-03-04T21:00:00.000Z","41.30","41.49","41.03","41.11","26,364"
"2024-03-05T21:00:00.000Z","41.61","41.61","41.29","41.49","24,837"
"2024-03-06T21:00:00.000Z","41.77","41.92","41.70","41.84","11,478"
"2024-03-07T21:00:00.000Z","42.08","42.18","41.61","41.70","30,245"
"2024-03-10T21:00:00.000Z","41.50","41.65","41.34","41.63","30,527"
"2024-03-11T21:00:00.000Z","41.78","42.09","41.63","42.07","21,203"
"2024-03-12T21:00:00.000Z","42.10","42.25","41.86","41.86","36,668"
"2024-03-13T21:00:00.000Z","42.10","42.13","41.66","41.93","71,593"
"2024-03-14T21:00:00.000Z","41.66","41.77","41.51","41.63","28,254"
"2024-03-17T21:00:00.000Z","41.82","41.98","41.82","41.90","24,588"
"2024-03-18T21:00:00.000Z","41.85","42.13","41.64","42.13","48,539"
"2024-03-19T21:00:00.000Z","42.17","42.45","42.05","42.45","38,486"
"2024-03-20T21:00:00.000Z","42.74","42.74","42.59","42.62","59,008"
"2024-03-21T21:00:00.000Z","42.67","42.67","42.52","42.65","22,681"
"2024-03-24T21:00:00.000Z","42.52","42.60","42.43","42.43","33,118"
"2024-03-25T21:00:00.000Z","42.67","42.67","42.36","42.36","41,135"
"2024-03-26T21:00:00.000Z","42.56","42.64","42.40","42.59","19,169"
"2024-03-27T21:00:00.000Z","42.78","42.87","42.65","42.80","42,628"
"2024-03-31T21:00:00.000Z","42.59","42.59","42.30","42.32","17,317"
"2024-04-01T21:00:00.000Z","42.07","42.19","41.90","42.12","10,220"
"2024-04-02T21:00:00.000Z","42.07","42.32","42.06","42.09","22,913"
"2024-04-03T21:00:00.000Z","42.51","42.51","41.56","41.56","33,635"
"2024-04-04T21:00:00.000Z","41.86","42.19","41.80","42.07","13,583"
"2024-04-07T21:00:00.000Z","42.25","42.25","42.06","42.07","94,555"
"2024-04-08T21:00:00.000Z","42.30","42.30","41.72","42.02","32,608"
"2024-04-09T21:00:00.000Z","41.88","42.06","41.68","41.90","28,866"
"2024-04-10T21:00:00.000Z","41.89","42.28","41.74","42.18","17,342"
"2024-04-11T21:00:00.000Z","41.97","41.97","41.48","41.54","19,418"
"2024-04-14T21:00:00.000Z","41.98","41.98","41.01","41.15","22,074"
"2024-04-15T21:00:00.000Z","41.24","41.24","40.95","40.99","24,915"
"2024-04-16T21:00:00.000Z","41.20","41.26","40.78","40.78","19,733"
"2024-04-17T21:00:00.000Z","41.02","41.15","40.68","40.76","12,757"
"2024-04-18T21:00:00.000Z","40.75","40.82","40.27","40.40","25,485"
"2024-04-21T21:00:00.000Z","40.72","40.94","40.49","40.79","82,020"
"2024-04-22T21:00:00.000Z","41.05","41.30","40.98","41.25","21,554"
"2024-04-23T21:00:00.000Z","41.38","41.40","41.07","41.27","34,342"
"2024-04-24T21:00:00.000Z","40.75","41.13","40.62","41.02","42,873"
"2024-04-25T21:00:00.000Z","41.38","41.57","41.36","41.56","9,008.00"
"2024-04-28T21:00:00.000Z","41.70","41.71","41.51","41.68","14,838"
"2024-04-29T21:00:00.000Z","41.60","41.61","41.04","41.05","14,970"
"2024-04-30T21:00:00.000Z","40.47","41.57","40.47","40.58","23,211"
"2024-05-01T21:00:00.000Z","40.47","40.97","40.47","40.88","6,358.00"
"2024-05-02T21:00:00.000Z","41.39","41.39","41.13","41.36","11,753"
"2024-05-05T21:00:00.000Z","41.60","41.74","41.54","41.74","21,267"
"2024-05-06T21:00:00.000Z","41.74","41.91","41.74","41.79","19,992"
"2024-05-07T21:00:00.000Z","41.76","41.90","41.70","41.88","38,989"
"2024-05-08T21:00:00.000Z","41.90","42.09","41.85","41.97","25,298"
"2024-05-09T21:00:00.000Z","42.29","42.29","42.05","42.15","17,939"
"2024-05-12T21:00:00.000Z","42.27","42.27","42.01","42.08","21,714"
"2024-05-13T21:00:00.000Z","42.01","42.41","42.01","42.29","25,128"
"2024-05-14T21:00:00.000Z","42.64","42.72","42.53","42.69","22,113"
"2024-05-15T21:00:00.000Z","42.67","42.79","42.57","42.63","848,954"
"2024-05-16T21:00:00.000Z","42.73","42.73","42.46","42.66","27,643"
"2024-05-19T21:00:00.000Z","42.73","42.83","42.60","42.71","26,596"
"2024-05-20T21:00:00.000Z","42.73","42.82","42.64","42.81","34,033"
"2024-05-21T21:00:00.000Z","42.84","42.88","42.50","42.67","46,423"
"2024-05-22T21:00:00.000Z","43.03","43.03","42.31","42.45","40,695"
"2024-05-23T21:00:00.000Z","42.52","42.73","42.42","42.68","31,487"
"2024-05-27T21:00:00.000Z","42.83","42.83","42.53","42.74","41,820"
"2024-05-28T21:00:00.000Z","42.34","42.54","42.34","42.43","53,139"
"2024-05-29T21:00:00.000Z","42.45","42.45","42.08","42.21","131,093"
"2024-05-30T21:00:00.000Z","42.28","42.47","41.81","42.46","106,131"
"2024-06-02T21:00:00.000Z","42.38","42.46","41.85","42.28","63,565"
"2024-06-03T21:00:00.000Z","42.20","42.40","42.09","42.33","27,170"
"2024-06-04T21:00:00.000Z","42.50","42.66","42.42","42.62","45,729"
"2024-06-05T21:00:00.000Z","42.79","42.79","42.55","42.64","102,016"
"2024-06-06T21:00:00.000Z","42.59","42.83","42.55","42.65","58,420"
"2024-06-09T21:00:00.000Z","42.64","42.78","42.50","42.75","86,800"
"2024-06-10T21:00:00.000Z","42.70","42.88","42.49","42.87","66,155"
"2024-06-11T21:00:00.000Z","43.00","43.29","43.00","43.12","75,637"
"2024-06-12T21:00:00.000Z","43.35","43.35","43.09","43.24","138,212"
"2024-06-13T21:00:00.000Z","43.22","43.30","43.09","43.30","32,692"
"2024-06-16T21:00:00.000Z","43.38","43.57","43.23","43.55","42,163"
"2024-06-17T21:00:00.000Z","43.65","43.72","43.53","43.69","40,044"
"2024-06-19T21:00:00.000Z","43.88","43.88","43.50","43.57","64,594"
"2024-06-20T21:00:00.000Z","43.60","43.65","43.40","43.52","53,395"
"2024-06-23T21:00:00.000Z","43.57","43.67","43.40","43.40","46,473"
"2024-06-24T21:00:00.000Z","43.50","43.58","43.37","43.58","38,901"
"2024-06-25T21:00:00.000Z","43.54","43.66","43.42","43.63","62,055"
