"Date","Open","High","Low","Close","Volume"
"2023-12-21T21:00:00.000Z","55.00","55.17","55.00","55.12","3,296,295"
"2023-12-25T21:00:00.000Z","55.15","55.29","55.15","55.24","2,818,578"
"2023-12-26T21:00:00.000Z","55.29","55.33","55.18","55.33","3,500,573"
"2023-12-27T21:00:00.000Z","54.93","55.02","54.91","54.98","3,791,840"
"2023-12-28T21:00:00.000Z","54.97","55.02","54.88","54.98","3,652,702"
"2024-01-01T21:00:00.000Z","54.88","55.13","54.86","55.12","4,294,269"
"2024-01-02T21:00:00.000Z","55.09","55.10","54.81","54.81","3,541,259"
"2024-01-03T21:00:00.000Z","54.85","55.06","54.78","54.79","4,056,313"
"2024-01-04T21:00:00.000Z","54.77","54.97","54.62","54.75","3,983,073"
"2024-01-07T21:00:00.000Z","54.78","55.12","54.75","55.12","3,498,747"
"2024-01-08T21:00:00.000Z","54.91","55.08","54.85","55.08","5,340,694"
"2024-01-09T21:00:00.000Z","55.10","55.19","55.05","55.14","2,863,022"
"2024-01-10T21:00:00.000Z","55.18","55.22","54.86","55.15","3,363,589"
"2024-01-11T21:00:00.000Z","55.23","55.37","55.16","55.30","2,754,473"
"2024-01-15T21:00:00.000Z","55.24","55.30","55.01","55.16","3,122,403"
"2024-01-16T21:00:00.000Z","54.92","55.05","54.72","54.95","4,153,569"
"2024-01-17T21:00:00.000Z","54.96","55.21","54.79","55.21","3,164,343"
"2024-01-18T21:00:00.000Z","55.31","55.52","55.15","55.46","4,278,264"
"2024-01-21T21:00:00.000Z","55.52","55.66","55.50","55.66","3,933,426"
"2024-01-22T21:00:00.000Z","55.70","55.85","55.67","55.85","4,081,469"
"2024-01-23T21:00:00.000Z","55.98","55.98","55.61","55.64","4,230,694"
"2024-01-24T21:00:00.000Z","55.78","55.88","55.66","55.88","3,347,406"
"2024-01-25T21:00:00.000Z","55.87","55.95","55.85","55.94","3,184,009"
"2024-01-28T21:00:00.000Z","55.94","56.15","55.94","56.15","3,864,335"
"2024-01-29T21:00:00.000Z","56.09","56.29","56.00","56.27","3,384,076"
"2024-01-30T21:00:00.000Z","56.33","56.35","55.94","55.96","3,862,427"
"2024-01-31T21:00:00.000Z","55.80","56.25","55.68","56.25","4,015,397"
"2024-02-01T21:00:00.000Z","56.16","56.31","56.06","56.19","4,172,186"
"2024-02-04T21:00:00.000Z","56.05","56.05","55.83","55.93","3,619,278"
"2024-02-05T21:00:00.000Z","56.08","56.08","55.93","56.03","3,485,085"
"2024-02-06T21:00:00.000Z","56.07","56.28","56.06","56.15","3,706,529"
"2024-02-07T21:00:00.000Z","56.13","56.17","56.09","56.13","3,360,909"
"2024-02-08T21:00:00.000Z","56.22","56.22","56.08","56.15","3,484,111"
"2024-02-11T21:00:00.000Z","56.19","56.19","56.06","56.15","3,035,018"
"2024-02-12T21:00:00.000Z","55.92","56.09","55.70","55.86","3,906,862"
