"Date","Open","High","Low","Close","Volume"
"2023-12-19T21:00:00.000Z","50.17","50.22","49.86","49.88","3,184,696"
"2023-12-20T21:00:00.000Z","50.13","50.18","49.96","50.14","2,177,331"
"2023-12-21T21:00:00.000Z","50.23","50.23","50.09","50.16","2,434,082"
"2023-12-25T21:00:00.000Z","50.23","50.28","50.21","50.25","2,306,326"
"2023-12-26T21:00:00.000Z","50.31","50.33","50.23","50.32","2,514,994"
"2023-12-27T21:00:00.000Z","50.09","50.09","49.96","49.98","2,857,634"
"2023-12-28T21:00:00.000Z","50.02","50.02","49.81","49.93","2,277,081"
"2024-01-01T21:00:00.000Z","49.78","49.78","49.41","49.57","3,137,386"
"2024-01-02T21:00:00.000Z","49.36","49.41","49.16","49.22","2,316,595"
"2024-01-03T21:00:00.000Z","49.07","49.35","49.00","49.02","2,790,064"
"2024-01-04T21:00:00.000Z","49.04","49.38","49.00","49.15","2,797,997"
"2024-01-07T21:00:00.000Z","49.27","49.91","49.26","49.90","2,124,527"
"2024-01-08T21:00:00.000Z","49.70","50.06","49.63","50.01","1,954,871"
"2024-01-09T21:00:00.000Z","50.06","50.40","50.04","50.34","2,263,364"
"2024-01-10T21:00:00.000Z","50.48","50.55","49.98","50.44","3,065,162"
"2024-01-11T21:00:00.000Z","50.50","50.59","50.35","50.49","1,675,218"
"2024-01-15T21:00:00.000Z","50.46","50.69","50.35","50.58","2,417,621"
"2024-01-16T21:00:00.000Z","50.33","50.39","49.94","50.36","2,376,372"
"2024-01-17T21:00:00.000Z","50.70","50.92","50.56","50.88","2,927,005"
"2024-01-18T21:00:00.000Z","51.08","51.40","50.99","51.39","3,906,127"
"2024-01-21T21:00:00.000Z","51.57","51.57","51.40","51.49","2,710,755"
"2024-01-22T21:00:00.000Z","51.58","51.60","51.42","51.58","2,818,123"
"2024-01-23T21:00:00.000Z","51.81","51.91","51.72","51.74","3,522,184"
"2024-01-24T21:00:00.000Z","51.89","51.90","51.68","51.80","2,593,173"
"2024-01-25T21:00:00.000Z","51.80","51.89","51.73","51.79","2,579,084"
"2024-01-28T21:00:00.000Z","51.88","52.06","51.84","52.05","2,521,898"
"2024-01-29T21:00:00.000Z","52.07","52.08","51.93","51.96","3,211,765"
"2024-01-30T21:00:00.000Z","51.77","51.84","51.42","51.43","3,500,513"
"2024-01-31T21:00:00.000Z","51.31","51.52","51.16","51.49","2,599,705"
"2024-02-01T21:00:00.000Z","51.71","52.01","51.62","51.94","3,128,642"
"2024-02-04T21:00:00.000Z","51.95","52.01","51.77","51.96","2,854,174"
"2024-02-05T21:00:00.000Z","52.05","52.07","51.77","51.89","2,338,263"
"2024-02-06T21:00:00.000Z","52.07","52.26","52.00","52.22","2,610,071"
"2024-02-07T21:00:00.000Z","52.27","52.33","52.22","52.30","2,274,473"
"2024-02-08T21:00:00.000Z","52.37","52.52","52.32","52.49","2,397,124"
"2024-02-11T21:00:00.000Z","52.53","52.55","52.37","52.39","2,467,731"
"2024-02-12T21:00:00.000Z","52.07","52.27","51.93","52.12","2,403,084"
"2024-02-13T21:00:00.000Z","52.40","52.52","52.18","52.50","2,359,757"
"2024-02-14T21:00:00.000Z","52.63","52.63","52.36","52.55","2,189,823"
"2024-02-15T21:00:00.000Z","52.66","52.66","52.29","52.32","2,570,343"
