"Date","Open","High","Low","Close","Volume"
"2021-08-30T21:00:00.000Z","23.24","23.40","23.24","23.33","4,840.00"
"2021-08-31T21:00:00.000Z","23.47","23.47","23.20","23.36","21,253"
"2021-09-01T21:00:00.000Z","23.40","23.40","23.27","23.29","13,944"
"2021-09-02T21:00:00.000Z","23.21","23.42","23.21","23.32","7,538.00"
"2021-09-06T21:00:00.000Z","23.44","23.44","23.32","23.35","8,064.00"
"2021-09-07T21:00:00.000Z","23.32","23.41","23.22","23.34","19,427"
"2021-09-08T21:00:00.000Z","23.45","23.45","23.28","23.36","14,444"
"2021-09-09T21:00:00.000Z","23.39","23.40","23.26","23.26","9,113.00"
"2021-09-12T21:00:00.000Z","23.43","23.43","23.25","23.31","12,448"
"2021-09-13T21:00:00.000Z","23.45","23.45","23.25","23.26","5,057.00"
"2021-09-14T21:00:00.000Z","23.30","23.40","23.25","23.40","22,124"
"2021-09-15T21:00:00.000Z","23.45","23.50","23.29","23.38","13,111"
"2021-09-16T21:00:00.000Z","23.31","23.36","22.85","23.29","7,789.00"
"2021-09-19T21:00:00.000Z","22.67","23.09","22.67","22.90","32,326"
"2021-09-20T21:00:00.000Z","23.00","23.12","22.93","22.98","8,567.00"
"2021-09-21T21:00:00.000Z","22.94","23.22","22.94","23.04","19,385"
"2021-09-22T21:00:00.000Z","23.20","23.43","23.20","23.43","5,412.00"
"2021-09-23T21:00:00.000Z","23.36","23.40","23.30","23.38","8,339.00"
"2021-09-26T21:00:00.000Z","23.25","23.41","23.25","23.29","7,206.00"
"2021-09-27T21:00:00.000Z","23.23","23.23","22.94","22.96","29,146"
"2021-09-28T21:00:00.000Z","23.18","23.18","23.03","23.13","8,836.00"
"2021-09-29T21:00:00.000Z","23.20","23.20","22.80","22.99","16,743"
"2021-09-30T21:00:00.000Z","23.01","23.48","22.86","23.21","26,717"
"2021-10-03T21:00:00.000Z","23.10","23.10","22.75","22.82","10,539"
"2021-10-04T21:00:00.000Z","22.95","23.17","22.95","23.06","48,879"
"2021-10-05T21:00:00.000Z","23.00","23.13","22.80","23.10","16,162"
"2021-10-06T21:00:00.000Z","23.32","23.42","23.24","23.30","59,050"
"2021-10-07T21:00:00.000Z","23.39","23.39","23.24","23.32","11,716"
"2021-10-10T21:00:00.000Z","23.36","23.37","23.06","23.19","8,303.00"
"2021-10-11T21:00:00.000Z","23.27","23.27","23.08","23.15","14,779"
"2021-10-12T21:00:00.000Z","23.06","23.24","23.04","23.17","12,750"
"2021-10-13T21:00:00.000Z","23.47","23.60","23.40","23.53","11,159"
"2021-10-14T21:00:00.000Z","23.72","23.72","23.59","23.68","9,834.00"
"2021-10-17T21:00:00.000Z","23.68","23.68","23.63","23.65","5,052.00"
"2021-10-18T21:00:00.000Z","23.65","23.78","23.65","23.76","17,045"
"2021-10-19T21:00:00.000Z","23.80","23.85","23.70","23.71","10,853"
"2021-10-20T21:00:00.000Z","23.71","23.85","23.70","23.85","17,542"
"2021-10-21T21:00:00.000Z","23.85","23.85","23.73","23.82","25,138"
"2021-10-24T21:00:00.000Z","23.89","23.89","23.76","23.88","26,022"
"2021-10-25T21:00:00.000Z","23.86","23.90","23.80","23.85","28,573"
"2021-10-26T21:00:00.000Z","23.89","23.90","23.82","23.87","14,846"
"2021-10-27T21:00:00.000Z","23.92","23.95","23.84","23.93","7,187.00"
"2021-10-28T21:00:00.000Z","23.90","23.93","23.75","23.93","286,643"
"2021-10-31T21:00:00.000Z","23.93","23.97","23.80","23.92","20,326"
"2021-11-01T21:00:00.000Z","23.99","23.99","23.89","23.94","9,294.00"
"2021-11-02T21:00:00.000Z","23.99","23.99","23.85","23.93","12,139"
"2021-11-03T21:00:00.000Z","23.94","24.00","23.94","23.97","14,756"
"2021-11-04T21:00:00.000Z","23.99","24.07","23.93","23.97","10,073"
"2021-11-07T21:00:00.000Z","24.00","24.05","23.95","23.95","23,142"
"2021-11-08T21:00:00.000Z","23.97","24.05","23.91","23.96","18,958"
"2021-11-09T21:00:00.000Z","23.94","24.05","23.89","23.97","14,906"
"2021-11-10T21:00:00.000Z","23.93","24.03","23.91","23.98","40,216"
"2021-11-11T21:00:00.000Z","24.05","24.08","23.96","24.06","25,896"
"2021-11-14T21:00:00.000Z","24.05","24.07","23.99","24.04","13,817"
"2021-11-15T21:00:00.000Z","24.00","24.09","23.91","24.02","7,637.00"
"2021-11-16T21:00:00.000Z","24.05","24.10","23.99","24.05","12,590"
"2021-11-17T21:00:00.000Z","24.10","24.10","24.00","24.01","6,291.00"
"2021-11-18T21:00:00.000Z","24.04","24.12","23.93","24.07","25,096"
"2021-11-21T21:00:00.000Z","24.08","24.14","23.87","23.91","10,029"
"2021-11-22T21:00:00.000Z","23.95","23.96","23.81","23.95","10,264"
"2021-11-23T21:00:00.000Z","23.96","24.09","23.85","24.02","40,607"
"2021-11-25T21:00:00.000Z","23.91","23.91","23.55","23.70","12,308"
"2021-11-28T21:00:00.000Z","23.85","24.00","23.72","23.90","53,939"
"2021-11-29T21:00:00.000Z","23.89","23.89","23.51","23.70","46,200"
