"Date","Open","High","Low","Close","Volume"
"2024-01-29T21:00:00.000Z","50.00","50.03","49.78","49.84","5,041.00"
"2024-01-30T21:00:00.000Z","49.47","49.47","49.14","49.14","19,184"
"2024-01-31T21:00:00.000Z","49.39","49.61","49.28","49.54","11,816"
"2024-02-01T21:00:00.000Z","53.70","53.70","49.69","50.16","53,422"
"2024-02-04T21:00:00.000Z","50.37","50.37","49.95","50.14","25,593"
"2024-02-05T21:00:00.000Z","50.65","50.65","49.86","50.01","20,512"
"2024-02-06T21:00:00.000Z","50.54","50.60","50.24","50.60","44,953"
"2024-02-07T21:00:00.000Z","50.69","50.69","50.48","50.52","7,809.00"
"2024-02-08T21:00:00.000Z","50.93","50.96","50.61","50.96","21,110"
"2024-02-11T21:00:00.000Z","51.13","51.13","50.70","51.06","15,457"
"2024-02-12T21:00:00.000Z","50.31","51.13","49.98","51.13","40,546"
"2024-02-13T21:00:00.000Z","50.73","50.73","50.30","50.64","29,717"
"2024-02-14T21:00:00.000Z","50.77","50.77","50.55","50.67","8,648.00"
"2024-02-15T21:00:00.000Z","50.84","50.84","50.42","50.42","18,696"
"2024-02-19T21:00:00.000Z","50.32","50.32","49.86","50.12","17,716"
"2024-02-20T21:00:00.000Z","49.48","49.48","49.18","49.40","16,057"
"2024-02-21T21:00:00.000Z","50.47","50.57","50.20","50.55","21,675"
"2024-02-22T21:00:00.000Z","50.76","50.76","50.45","50.54","30,899"
"2024-02-25T21:00:00.000Z","50.60","50.68","50.49","50.51","53,481"
"2024-02-26T21:00:00.000Z","50.62","50.65","50.43","50.62","20,951"
"2024-02-27T21:00:00.000Z","50.53","50.53","50.34","50.42","28,817"
"2024-02-28T21:00:00.000Z","50.67","50.81","50.52","50.80","21,024"
"2024-02-29T21:00:00.000Z","50.80","51.32","50.80","51.28","27,147"
"2024-03-03T21:00:00.000Z","51.33","51.40","51.15","51.16","56,588"
"2024-03-04T21:00:00.000Z","51.01","51.05","50.33","50.49","41,288"
"2024-03-05T21:00:00.000Z","50.98","51.00","50.66","50.76","29,063"
"2024-03-06T21:00:00.000Z","51.04","51.37","50.98","51.30","27,276"
"2024-03-07T21:00:00.000Z","52.06","52.06","50.70","50.80","28,262"
"2024-03-10T21:00:00.000Z","50.73","50.95","50.44","50.63","75,659"
"2024-03-11T21:00:00.000Z","50.92","51.26","50.63","51.24","47,527"
"2024-03-12T21:00:00.000Z","51.20","51.20","50.85","50.97","59,844"
"2024-03-13T21:00:00.000Z","51.11","51.11","50.63","50.82","35,385"
"2024-03-14T21:00:00.000Z","50.67","50.96","50.25","50.40","90,374"
"2024-03-17T21:00:00.000Z","51.08","51.13","50.80","50.84","204,531"
