"Date","Open","High","Low","Close","Volume"
"2023-12-20T21:00:00.000Z","17.40","17.43","17.35","17.41","3,403,073"
"2023-12-21T21:00:00.000Z","17.42","17.45","17.40","17.43","3,099,045"
"2023-12-25T21:00:00.000Z","17.44","17.50","17.44","17.49","2,449,125"
"2023-12-26T21:00:00.000Z","17.50","17.52","17.49","17.51","3,135,694"
"2023-12-27T21:00:00.000Z","17.39","17.40","17.36","17.37","2,984,627"
"2023-12-28T21:00:00.000Z","17.38","17.38","17.31","17.34","4,689,077"
"2024-01-01T21:00:00.000Z","17.29","17.30","17.18","17.23","5,169,866"
"2024-01-02T21:00:00.000Z","17.18","17.20","17.12","17.13","3,895,961"
"2024-01-03T21:00:00.000Z","17.10","17.19","17.06","17.09","3,842,963"
"2024-01-04T21:00:00.000Z","17.10","17.20","17.07","17.13","2,843,584"
"2024-01-07T21:00:00.000Z","17.18","17.37","17.15","17.37","3,046,173"
"2024-01-08T21:00:00.000Z","17.30","17.40","17.29","17.39","2,236,085"
"2024-01-09T21:00:00.000Z","17.40","17.44","17.39","17.42","2,525,276"
"2024-01-10T21:00:00.000Z","17.45","17.48","17.38","17.46","2,289,295"
"2024-01-11T21:00:00.000Z","17.46","17.50","17.46","17.49","2,122,926"
"2024-01-15T21:00:00.000Z","17.47","17.51","17.46","17.50","2,422,040"
"2024-01-16T21:00:00.000Z","17.47","17.49","17.39","17.49","2,433,214"
"2024-01-17T21:00:00.000Z","17.52","17.57","17.52","17.55","2,389,738"
"2024-01-18T21:00:00.000Z","17.62","17.80","17.61","17.80","4,455,251"
"2024-01-21T21:00:00.000Z","17.65","17.67","17.62","17.64","3,086,651"
"2024-01-22T21:00:00.000Z","17.64","17.67","17.62","17.67","2,374,036"
"2024-01-23T21:00:00.000Z","17.70","17.73","17.69","17.71","3,041,229"
"2024-01-24T21:00:00.000Z","17.71","17.73","17.68","17.70","2,398,722"
"2024-01-25T21:00:00.000Z","17.70","17.72","17.69","17.70","2,301,777"
"2024-01-28T21:00:00.000Z","17.73","17.75","17.70","17.74","2,482,487"
"2024-01-29T21:00:00.000Z","17.76","17.77","17.72","17.72","2,283,918"
"2024-01-30T21:00:00.000Z","17.70","17.72","17.62","17.62","4,274,785"
"2024-01-31T21:00:00.000Z","17.68","17.73","17.65","17.72","3,616,243"
"2024-02-01T21:00:00.000Z","17.76","17.80","17.74","17.80","2,736,245"
"2024-02-04T21:00:00.000Z","17.80","17.82","17.78","17.81","3,156,302"
"2024-02-05T21:00:00.000Z","17.83","17.84","17.79","17.82","1,957,377"
"2024-02-06T21:00:00.000Z","17.84","17.84","17.83","17.84","1,854,100"
"2024-02-07T21:00:00.000Z","17.84","17.86","17.84","17.86","2,991,640"
"2024-02-08T21:00:00.000Z","17.87","17.87","17.85","17.86","2,381,514"
"2024-02-11T21:00:00.000Z","17.87","17.88","17.86","17.87","2,435,004"
"2024-02-12T21:00:00.000Z","17.86","17.88","17.85","17.87","3,865,494"
"2024-02-13T21:00:00.000Z","17.89","17.89","17.87","17.89","2,398,910"
"2024-02-14T21:00:00.000Z","17.91","17.91","17.87","17.89","2,917,231"
"2024-02-15T21:00:00.000Z","17.94","17.94","17.71","17.80","5,875,295"
"2024-02-19T21:00:00.000Z","17.60","17.61","17.45","17.54","6,199,763"
"2024-02-20T21:00:00.000Z","17.49","17.51","17.40","17.51","4,479,533"
"2024-02-21T21:00:00.000Z","17.70","17.78","17.69","17.78","4,506,483"
"2024-02-22T21:00:00.000Z","17.78","17.82","17.75","17.79","3,557,085"
"2024-02-25T21:00:00.000Z","17.79","17.82","17.78","17.80","2,872,884"
"2024-02-26T21:00:00.000Z","17.80","17.83","17.78","17.83","3,121,928"
"2024-02-27T21:00:00.000Z","17.81","17.82","17.78","17.80","3,053,775"
"2024-02-28T21:00:00.000Z","17.83","17.87","17.80","17.86","3,992,511"
"2024-02-29T21:00:00.000Z","17.86","17.92","17.86","17.92","3,138,408"
"2024-03-03T21:00:00.000Z","17.92","17.93","17.91","17.92","3,337,460"
"2024-03-04T21:00:00.000Z","17.89","17.89","17.80","17.84","4,009,096"
"2024-03-05T21:00:00.000Z","17.91","17.92","17.85","17.89","3,621,201"
"2024-03-06T21:00:00.000Z","17.93","17.95","17.90","17.93","3,366,080"
"2024-03-07T21:00:00.000Z","17.94","17.97","17.89","17.92","4,857,180"
"2024-03-10T21:00:00.000Z","17.91","17.93","17.86","17.90","4,579,118"
"2024-03-11T21:00:00.000Z","17.94","17.99","17.92","17.98","2,829,599"
"2024-03-12T21:00:00.000Z","17.99","18.01","17.98","17.99","3,569,029"
"2024-03-13T21:00:00.000Z","18.00","18.00","17.91","18.00","3,810,944"
"2024-03-14T21:00:00.000Z","17.94","17.96","17.78","17.82","7,311,059"
"2024-03-17T21:00:00.000Z","17.75","17.77","17.72","17.73","3,940,338"
"2024-03-18T21:00:00.000Z","17.69","17.76","17.64","17.76","4,786,458"
"2024-03-19T21:00:00.000Z","17.76","17.85","17.73","17.84","4,031,935"
"2024-03-20T21:00:00.000Z","17.90","17.92","17.87","17.89","2,634,104"
"2024-03-21T21:00:00.000Z","17.90","17.91","17.87","17.91","2,139,063"
"2024-03-24T21:00:00.000Z","17.88","17.91","17.86","17.90","2,431,378"
"2024-03-25T21:00:00.000Z","17.92","17.93","17.87","17.87","3,624,563"
